year,value
2023,356.12
2022,343.77
2021,320.69
2020,296.08
2019,330.79
2018,311.27
2017,290.43
2016,311.10
2015,348.55
2014,385.38
2013,369.80
2012,335.74
2011,288.42
2010,254.73
2009,230.15
2008,208.79
2007,180.47
2006,151.32
2005,127.74
2004,110.14
2003,98.46
2002,97.02
2001,93.64
2000,92.67
1999,91.02
1998,98.43
1997,100.29
1996,94.03
1995,85.68
1994,73.24
1993,61.26
1992,54.02
1991,46.58
1990,43.89
1989,40.65
1988,41.38
1987,38.65
1986,37.15
1985,36.38
1984,37.46
1983,36.84
1982,37.48
1981,37.00
1980,33.68
1979,27.82
1978,21.86
1977,17.35
1976,15.33
1975,14.25
1974,12.84
1973,10.56
1972,8.86
1971,7.81
1970,7.10
1969,6.61
1968,6.19
1967,5.85
1966,6.08
1965,5.80
1964,5.56
1963,5.00
1962,4.79
