Date,Value
"Jan 5 2015","10,110,380.50"
"Jan 12 2015","10,371,278.50"
"Jan 19 2015","10,592,825.50"
"Jan 26 2015","10,541,589.75"
"Feb 2 2015","10,736,806.25"
"Feb 9 2015","10,535,999.00"
"Feb 16 2015","10,410,399.25"
"Feb 23 2015","10,396,684.00"
"Mar 2 2015","10,238,004.00"
"Mar 9 2015","10,085,572.25"
"Mar 16 2015","9,890,324.25"
"Mar 23 2015","9,861,786.75"
"Mar 30 2015","9,470,049.00"
"Apr 6 2015","9,167,328.50"
"Apr 13 2015","9,480,876.50"
"Apr 20 2015","9,250,641.00"
"Apr 27 2015","8,972,028.00"
"May 4 2015","9,316,097.75"
"May 11 2015","8,730,225.50"
"May 18 2015","9,158,525.50"
"May 25 2015","8,814,038.00"
"Jun 1 2015","8,923,533.25"
"Jun 8 2015","9,245,816.25"
"Jun 15 2015","9,124,041.75"
"Jun 22 2015","9,187,576.75"
"Jun 29 2015","9,383,964.00"
"Jul 6 2015","9,322,383.50"
"Jul 13 2015","9,311,168.50"
"Jul 20 2015","9,289,656.50"
"Jul 27 2015","9,011,495.75"
"Aug 3 2015","9,088,514.75"
"Aug 10 2015","9,107,485.00"
"Aug 17 2015","8,998,051.25"
"Aug 24 2015","9,245,030.75"
"Aug 31 2015","9,313,512.25"
"Sep 7 2015","9,286,132.50"
"Sep 14 2015","9,441,442.25"
"Sep 21 2015","9,416,339.75"
"Sep 28 2015","9,276,410.00"
"Oct 5 2015","9,496,883.75"
"Oct 12 2015","9,858,702.75"
"Oct 19 2015","9,832,251.00"
"Oct 26 2015","9,741,348.00"
"Nov 2 2015","9,823,575.00"
"Nov 9 2015","10,036,516.00"
"Nov 16 2015","10,202,291.00"
"Nov 23 2015","10,523,721.25"
"Nov 30 2015","10,344,324.00"
"Dec 7 2015","10,332,981.25"
"Dec 14 2015","9,977,163.50"
"Dec 21 2015","8,338,881.50"
"Dec 28 2015","8,260,219.50"
"Jan 4 2016","9,963,276.00"
"Jan 11 2016","10,463,529.25"
"Jan 18 2016","10,772,705.75"
"Jan 25 2016","10,322,056.25"
"Feb 1 2016","10,302,315.50"
"Feb 8 2016","10,275,475.00"
"Feb 15 2016","10,481,915.50"
"Feb 22 2016","10,219,623.25"
"Feb 29 2016","10,266,786.25"
"Mar 7 2016","10,114,837.50"
"Mar 14 2016","10,034,026.50"
"Mar 21 2016","9,377,769.75"
"Mar 28 2016","9,239,727.75"
"Apr 4 2016","9,482,230.25"
"Apr 11 2016","9,461,640.50"
"Apr 18 2016","9,373,869.25"
"Apr 25 2016","9,547,467.00"
"May 2 2016","8,850,206.50"
"May 9 2016","9,341,980.25"
"May 16 2016","9,003,762.00"
"May 23 2016","9,054,935.25"
"May 30 2016","9,294,057.00"
"Jun 6 2016","9,158,561.75"
"Jun 13 2016","9,205,906.25"
"Jun 20 2016","9,235,820.25"
"Jun 27 2016","9,293,920.75"
"Jul 4 2016","9,318,434.50"
"Jul 11 2016","9,250,530.00"
"Jul 18 2016","9,236,491.00"
"Jul 25 2016","9,096,053.25"
"Aug 1 2016","8,942,337.00"
"Aug 8 2016","8,917,781.50"
"Aug 15 2016","8,885,716.00"
"Aug 22 2016","9,227,638.75"
"Aug 29 2016","9,150,334.75"
"Sep 5 2016","9,120,627.75"
"Sep 12 2016","9,202,492.50"
"Sep 19 2016","9,040,508.25"
"Sep 26 2016","9,294,623.50"
"Oct 3 2016","9,298,292.50"
"Oct 10 2016","9,772,266.75"
"Oct 17 2016","9,803,561.25"
"Oct 24 2016","9,826,144.00"
"Oct 31 2016","9,660,166.25"
"Nov 7 2016","10,404,044.00"
"Nov 14 2016","10,475,496.50"
"Nov 21 2016","10,317,029.25"
"Nov 28 2016","10,680,857.00"
"Dec 5 2016","10,708,084.00"
"Dec 12 2016","10,526,634.50"
"Dec 19 2016","9,909,337.50"
"Dec 26 2016","8,584,529.25"
"Jan 2 2017","10,272,227.50"
"Jan 9 2017","10,800,514.50"
"Jan 16 2017","10,899,830.00"
"Jan 23 2017","10,971,135.75"
"Jan 30 2017","10,631,261.50"
"Feb 6 2017","10,762,407.25"
"Feb 13 2017","10,530,772.50"
"Feb 20 2017","10,381,703.00"
"Feb 27 2017","10,123,587.25"
"Mar 6 2017","10,175,011.25"
"Mar 13 2017","9,959,208.75"
"Mar 20 2017","9,839,924.50"
"Mar 27 2017","9,519,655.50"
"Apr 3 2017","9,483,787.25"
"Apr 10 2017","9,129,397.75"
"Apr 17 2017","9,366,113.75"
"Apr 24 2017","9,672,604.25"
"May 1 2017","9,328,513.50"
"May 8 2017","9,348,242.75"
